,tweet
0,"@esma_aboelazm تعرفي انا شوفت البوست امبارح وعدي عليا عااادي جدا مختش بالي غير منك دلوقتي 🙂🙂
صباح الفل بجد اي دا  زيرو تركيز"
1,@NBAKH_ اه تمام انا شوفت اول حلقه بس مختش بالى من اسمه 😂😂
2,"مختش بالي من المشهد ده عاااا😭😭
#YalıÇapkını #SeyFer https://t.co/kjk4CiCoYa"
3,انا مختش كايتشب يا سيات المستشار
4,@PWOxjaTq90yxZWx @nowaronline تصدق مختش بالي غير لما إنت وضحت
5,@mo7a2026's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.
6,@Apoptos99173264 مطمئنی تخته مختش کم نبود؟😐
7,@AlMasryAlYoum معلش مختش بالى
8,#جرح #كلونيا #مختش #حمزاوي_ندا https://t.co/kZ64qiFJXA
9,RT @ahelmy: 😂 مختش الاوسكار مختش الاوسكار (بصوت مجدي مكاو) https://t.co/G9H32UF6QB
10,@mohamed64086044 مانت كنت فى المطبخ يلا مختش لى.
11,RT @m7modmitwally: @iTalianZamlkawy ياخي أنا فكرت بجد والله مختش بالي من فلاش باك
12,@iTalianZamlkawy ياخي أنا فكرت بجد والله مختش بالي من فلاش باك
13,@ManarAnas_ مختش بالي
14,@Is_am_1 بسرح في الطريق يااسراء 😂 يعني مختش بالي من المطب اللي قدامي والمفروض اهدي ودا محصلشي وكان في عربيه كبيره قدامي هي هدت وكنت هخبط فيها لولا شتيمه بابا ليا اللي فوقتني😂😂
15,@A7meedJana انا مش عاوزه اشوفكم بنهار خالص انا مختش بالي من الاغنيه دي 😂😂😂😂😂
16,@HodaElS74851691 ن مختش 👍
17,التكنولوجيا خلتنا ننسي العيال بتاعه اكياس التمر بتاعة لو مختش الكيس بالادب هرميه ف وشك 😂 https://t.co/amPjtlr0vx
