,tweet
0,"RT @javaidik0707: یہ کنجر نہیں سدھرنے والے اگر حکومت ان پر کوئی کاروائی وہ بھی جامع کاروائی نہیں کرتی 
کیونکہ عدالتوں میں #بیگم_زدہ_جج جو ب…"
1,"RT @Rashad82820001: ہفتے کی رات کو جلسے کی صورت میں پھر کنجر خانہ لگائے گا
#بیگم_زدہ_جج"
2,RT @MunirChohan4: مینار پاکستان کا حسن خراب کر دیا ہے اس کنجر عمرانڈوو نے
3,"@ImranKhanPTI تراویح پڑھ 
پھر انکے جلسہ میں کنجر بننا یوطیوں لوطیوں 
کیا دعوت زنا دے رہا ہے 
کیا ویژن ہے 
لعنت تیری ہر بکواسات  پر"
4,@ImranRiazKhan تجھے جھوٹ پھیلائے بغیر نیند نہیں آتی کنجر؟؟
5,"RT @MiriftikharAhm7: خفیہ ذرائع  سے معلوم ہوا ہے
 رمضان المبارک  کے بابرکت لمحات میں جو لوگ روزہ تراویح عبادات چھوڑ کر مینار پاکستان گراونڈ…"
6,RT @KarachiWala090: گراؤنڈ پر کھڑے ھونے کے دعویدار ،قائد تحریک سے غداری کرنے والوں پورٹ اینڈ شپنگ کا وزیر تمہارا کنجر فیصل سبزواری ھے اور ا…
7,@imran6390 @CSMR786 گشتی ماں تے کنجر پیو دی ناجائڑڑ اولاد وہ پاکستبن کا صوبہ ہے۔ تیری بہن جار مہینے وچ بچہ جمن والی دا ٹھوکو نہیں۔ وزیراعلٰی اے
8,@LegiMian حرامخور کنجر پٹواری
9,"RT @javaidik0707: یہ کنجر نہیں سدھرنے والے اگر حکومت ان پر کوئی کاروائی وہ بھی جامع کاروائی نہیں کرتی 
کیونکہ عدالتوں میں #بیگم_زدہ_جج جو ب…"
10,"RT @B0oTaOfficial: مشوانی مڈل کلاسیا سی،عمران لالیکا،انجئیر نوید اسی سب مڈل کلاسئیے تواڈی آوازاں وچ شدت وی پیدا نہی کر سکدے۔
قبیح ترین عمل…"
11,کنجر کنجر کنجرا https://t.co/TLOMIt6Ohz
12,@Asmat70664678 @DemocraticPak1 آ پکی تربیت کا ہی شاخسانہ ہے کہ ایک نامحرم کنجر سے دل و دماغ ٹھنڈا کرواتی پھر رہی ہو۔
13,@LegiMian حرامخور کنجر پٹواری
14,مینار پاکستان کا حسن خراب کر دیا ہے اس کنجر عمرانڈوو نے https://t.co/Fk3cvER52p
15,@geonews_urdu رانا کنجر باندری ، ماڈل ٹاون کا قاتل
16,"@tariqmateen بندیال کنجر نہ ہوتا تو بات بھی تھی۔ اتنا عیاشیاں کرتے پہلے کے ویڈیو پر ویڈیو ہوتی۔ 
پھر برقعے پہن کے پھر رہے ہوتے ایک بازاری عورت کے سامنے، بولیں بھی تو کیسے ۔ حرام خور۔ غلیظ لوگ"
17,@ShamaJunejo بےغیرت گندی رن جس تیرے کنجر شوباز اور مکار مریم لومڑی کی حکومت نے سارا پاکستان تن کے رکھنے کے لئے پولیس کے کتے چھوڑے ھوئے ھیں یہ بھی اسی کی دلی تسکین کے لئے یہ بھی کیا جا رھا۔ حرامزادی جو خان کو امن کے ساتھ عدالت حاضر نہیں ھونے دیتے یہاں وہ خان کی خواھش پر عمل کریں گے؟ جاھل رن
18,@saifullahawan40 حرامخور کنجر پٹواری ،
19,@TararAttaullah حرامخور کنجر پٹواری
20,@HafizUllahPk اسی لیۓ ہم عمران کو نیاز ی نہیں  کنجر کہتے ہیں
21,RT @_Sumaira_afzal_: @AsadUrR40986435 تم کو عزت دی پر تمھارے حرام کے خون میں عزت ہے ہی نہیں کنجر نسل سے تعلق ہے تمھارا اب بھونکتے رہو کتے ک…
22,"امت مسلمہ کا صادق و امین کنجر نیازی ۔۔
 @iqrarulhassan 
@SdqJaan 
@HaroonNatmam https://t.co/vvRdYoo9I6"
23,RT @TabiCh_DxB: کوئی کنجر حافظ  ، دلے شہباز شریف، رنڈی مریم نواز، خنزیر فضل الرحمن اور بیغیرت بلاول کو اس مجبور عورت کی بد دعائیں سنوائے عر…
24,"RT @nawazsforce: حسان نیازی کی یہ ویڈیو ""آسکر ایوارڈ"" کیلئے نامزد کردی گئی ہے 🤣✌️🤣
اے پتر ہٹاں تے نہیں وکدے پیو وک سکدے نے ماویں وک سکدے نہ…"
25,"@jawadahmadone تم جیسا بیغیرت کمینہ انسان نہیں
تم جیسا منحوس کنجر کم نسل وغیرہ وغیرہ 
دوبارہ سناؤں ،؟"
26,RT @Riaz_Hussain77: کا نیازی کو سپورٹ کرنا کوئی اسکی محبت میں نہیں بلکہ ان سب کےمفادات اس کرپٹ لنگڑے کیساتھ جڑےہیں کیونکہ اس کنجر نے پچھلے4…
27,@PresPMLNPunjab چوپ کر کسی کنجر کی بچے 😈👿
28,@syedagulwis @nighatkhan_m اس کنجر کی بھی سنو  دلہ بھونک بھونک کے تھک گیا ھے ۔ کوٸی اس بہن یہک کی سن ھی نہی رھا۔
29,لو جی صدیوں کے کنجر ایک جلسے سے ہی ڈر گئے ہیں قوم نے ان کے ساتھ غزوہ  ہند لڑنی تھی۰ کیوں جی
30,@afnanullahkh حرامخور کنجر پٹواری
31,RT @Riaz_Hussain77: کا نیازی کو سپورٹ کرنا کوئی اسکی محبت میں نہیں بلکہ ان سب کےمفادات اس کرپٹ لنگڑے کیساتھ جڑےہیں کیونکہ اس کنجر نے پچھلے4…
32,@realikramnasim لوطی حرامی ساری زندگی علمائے لوط سے گانڈ مروا مروا کر ہمیں شریعت کا درس دو گے بہن چود سالا کنجر
33,@Naawazsharif کتا پاؤں پکڑ کر جھوٹی میڈیکل رپورٹ دکھا کر بھاگ گیا ہے کنجر کو کس نے روکا ہے آئے اور بہادروں کی طرح جیل جائے اور اپنے کیسوں کا مقابلہ کرے لیکن بزدل ہے عمران خان سے اتنا ڈرتا ہے اسکو دیکھکر بھگوڑے کی پتلون گیلی ہو جاتی ہے
34,@ImranRiazKhan نس کنجر نس
35,@Marriyum_A فٹے منہ کنجر
36,RT @KhanzadMubeen: گراؤنڈ پر کھڑے ھونے کے دعویدار ،قائد تحریک سے غداری کرنے والوں پورٹ اینڈ شپنگ کا وزیر تمہارا کنجر فیصل سبزواری ھے اور اس…
37,@ShahzadGill202 یے تو کوی سرٹیفائیڈ کنجر ہے
38,"RT @SindJo6: اچھا خاصہ قوم ٹھاکر کو گالیاں دیتی تھی اس کنجر راجہ نے مجھ ضمیر فروش کو برگیڈیئر مروت کا پروجیکٹ ثابت کردیا

اب جو ضمیر جاگے گ…"
39,@HafizUllahPk کنجر خانہ
40,@RanaSanaullahPK تو چپ کر کنجر تیرے جیسے جرائم پیشہ افراد کا قانون https://t.co/rFISR8Gx0M
41,"RT @javaidik0707: یہ کنجر نہیں سدھرنے والے اگر حکومت ان پر کوئی کاروائی وہ بھی جامع کاروائی نہیں کرتی 
کیونکہ عدالتوں میں #بیگم_زدہ_جج جو ب…"
42,"RT @Rashad82820001: ہفتے کی رات کو جلسے کی صورت میں پھر کنجر خانہ لگائے گا
#بیگم_زدہ_جج"
43,کنجر https://t.co/P2DUICca1d
44,"RT @B0oTaOfficial: مشوانی مڈل کلاسیا سی،عمران لالیکا،انجئیر نوید اسی سب مڈل کلاسئیے تواڈی آوازاں وچ شدت وی پیدا نہی کر سکدے۔
قبیح ترین عمل…"
