,tweet
0,@Tahirmughalpml8 اوہ لکھ لعنت تیرے جمن والی تے کسی ٹیکسی دی ناجائز اولاد گشتی دی ناجائز اولاد دتا تیری ماں دی پھدی اچ لن
1,"@GFarooqi گشتی
باجوے نے یہ بھی کہا ہے کہ تیرا ناجائز خاوند شوباز بڑا بےغیرت ہے انمس کو جو بھی کہو یہ جواب نہیں دیتا چاہے ماں بہن اور بیوی کی گالی دو"
2,@TalatHussain12 گشتی کے بچی تيری جاب پکی ہوی يا نہيں؟؟؟؟
3,@imran6390 @CSMR786 گشتی ماں تے کنجر پیو دی ناجائڑڑ اولاد وہ پاکستبن کا صوبہ ہے۔ تیری بہن جار مہینے وچ بچہ جمن والی دا ٹھوکو نہیں۔ وزیراعلٰی اے
4,"@saifullahawan40 پھر باقی پاکستان سے جو بندے آئین انہیں سرکار اپنے گھر بھیج دے اور قطری کی رکھیل اور حنا گشتی اور کنیز اول پیش کرے کہ ان کا آنے سے سرکار کو کُچھ فائدہ بھی ھو جائے
#فرعونی_حکومت_نامنظور 
@kh_warriors"
5,RT @Rafique86786: @Marriyum_A چتوں گشتی اپنی اوقات میں رہ خان پر بھونکنے کی تیری اوقات نہیں مریم کی پھدی چاٹنے والی نوکرانی https://t.co/39…
6,@MukaramAhmad4 @AminaZareen1 چل کسی گشتی کے ناقص کنڈم کے غلیظ نسل
7,"@GovtofPunjabPK 
او بتاؤ اس دلے @AmirMirTV کو جو کہہ رہا تھا کہ کوئی رکاوٹ نہیں ہے 
اس گشتی کے بچے کو دکھاؤ یہ https://t.co/vWarxvtYaR"
8,@Marriyum_A لعنتی خبیث طوائف ن لیگ کے کوٹھوں کی زینت. ملک کو 30 سالوں میں کیا کم لوٹا تھا جو اب بچا کھچا بھی کھانے آگئے ہو. سب سے بدنام جماعت ن لیگ بن چکی ہے. انکی سیاست مریم گشتی نے اپنے ہاتھوں سے دفن کر دی ہے. ویسے زرداری تم لوگوں کو صحیح چونا لگا گیا ہے.
9,@iamshafaatali گشتی کے بچے پھلوں کے خلاف نہیں چور حکومت کے خلاف احتجاج کرے
10,@Aman_Harris2 @dtnoorkhan @Hijabrandhawa1 @ChiryaClub @iHShaheen @bl_03ng @Baithak_0 @AmirAli22516957 @Aiza_B2 @Ainn012 @aftab85149 دیکھ خنزیر کی بچی تم کو تو تکلیف نہیں ھونی تمھاری بڑے کی کماںی جو ھونی ھے۔اصل ھے نا غور سے دیکھ گشتی https://t.co/cGBJXrfmI6
11,@farhatsid10 تم خود شکل سے گشتی لگ رھی ھو۔۔۔ ریٹ بتاؤ
12,@toseef_aslam کیوں تیری باجی کو چودا ہے خان نے گشتی کے بچے🤣
13,@Maira_pak لعنت تیری شکل پر گشتی
14,@MuradSaeedPTI کتے کے منہ والے گشتی کے جنائے کافر کتے میں تمہیں جہنم واصل کرساں جدھر تیری گشتی ماں کتوں سے یواتے ہوئے جہنم واصل ہوئی تھی کتے
15,@hinaparvezbutt انصاف کا ترازو مریم گشتی کے ہاتھ!
16,@alizia89230686 @50604Akram کتا گوہ نانک کتا کتی امام بارگاہ کتی گشتی چرچ کتی گشتی چرچ کتا گردوارہ کتا مندر کتا بگوانا کتا ہر کافر شیعہ کافر وابی کافر قادیانی کتے عیسائی کتے یہودی کتے قادیانی کتے نو مڈو وڈساں
17,@kurdi_kurd1stan کەس شەڕی ناوێ چون دیارە کە چی روودەدا بەڵام بۆوەی پێشی بگیرێ دەبێ خەلکی بە گشتی ئاگاداری باروودۆخەکە بن
18,"اس پیغام کو جتنا ہو سکے شئیر کرو
نوارنی طوائف گشتی کا بچہ تھا اس کے بات کا کجھ نہیں پتا نوارنی ساری زندگی جوان لونڈوں سے گانڈ مرواتا رہا نوارنی گانڈو اپنی بیوی کے پاس نہیں جاتا تھا سوال یے کہ پھر اویس نورانی کیسے پیدا ہو گیا ! https://t.co/SrT6Ja3gJk https://t.co/mSk3OU8bxo"
19,"@iamowaisnoorani اس پیغام کو جتنا ہو سکے شئیر کرو
نوارنی طوائف گشتی کا بچہ تھا اس کے بات کا کجھ نہیں پتا نوارنی ساری زندگی جوان لونڈوں سے گانڈ مرواتا رہا نوارنی گانڈو اپنی بیوی کے پاس نہیں جاتا تھا سوال یے کہ پھر اویس نورانی کیسے پیدا ہو گیا ! https://t.co/4OdcLDT5fE"
20,"RT @TLP9263TLP: امیرالمجاہدین کی دعا پوری ہوئی کتے کی یدی گشتی دے پھدے وچ موتر تو بدتر فرانس کتا جہنم واصل
#AlJazeeraDocumentary 
#چلو_چلو_…"
21,"امیرالمجاہدین کی دعا پوری ہوئی کتے کی یدی گشتی دے پھدے وچ موتر تو بدتر فرانس کتا جہنم واصل
#AlJazeeraDocumentary 
#چلو_چلو_مینار_پاکستان
#مفت_آٹا_سستا_پٹرول
#PakistanUnderFasicsm
#رمضان٢٠٢٣ 
#رمضان_كريم https://t.co/Hhi63W0pfC"
22,"اسی لڑکیوں کی وجہ سے تو لڑکے مرد آتے ہیں رات دن مشغلہ رہتا ہے پی ٹی آئی تو جینئس کنجروں کی پالٹی ہے حیا عزت والا بندہ کیا کرےگا نشئی گانڈو زناکار ممبر ہیں
رنڈی گشتی ٹیکسی کنجری اسکے ممبر خواتین ہیں https://t.co/7mN5T8Jepr"
23,@rajawaseem1511 @FIA_Agency @realrazidada مریم تلنگی کو بھی گرفتار کرکے اس گشتی سے جرنیلوں ججوں کی قابل اعتراض وڈیوز جو اس تلنگی نے خفیہ طور پر بنوائیں  برآمد کروائ جائیں
24,@unkerafte بی‌ادب شدی با کی گشتی
25,@AsadAToor اوہ لکھ لعنت تیرے جمن والی تے کسی ٹیکسی دی ناجائز اولاد گشتی دی ناجائز اولاد
26,@Marriyum_A نکل کسی ٹیکسی کی ناجائز اولاد گشتی دی بچیئے غلیظ کنجری
27,@pmln_org یہ جو دہشت گردی ہے اس کے پیچھے مریم گشتی ہے
28,"@Leila0244 ئاخر شێواز ژیان سویدی تەک ئێمە فەرقی هەس.
دایکم چواردانە یەخچاڵیش بەشی ناکات پڕیە لە هەچێ چتە 🙄
وەلێ بە گشتی قیاسەکە درووس نییە."
29,@Marriyum_A گشتی اور سستی عورت ساری رات لوگوں کو اٹھانا راستے بند کرنا پورا لاہور بند کر کے اسطرح کے ٹویٹ کرنا انتہا کے بیغرت لوگ ہو تم تو
30,@Marriyum_A کسی گشتی ماں دی حرامی اولاد بکواس بند کر تے ادب سے نام لیا کر خان کا ۔ وہ پاکستان کی جان ہے ناکہ تمہاری ماں کا کسٹمر ۔۔ ایک نرس سے وزیر کیسے بنی حرامی ؟
31,@Karachi__Wali سستی گشتی
32,بڑی ہی گشتی رن ہے واٸی گنجے کی پیرو کار https://t.co/GLouL3R8c9
33,@FIA_Agency کتا گوہ نانک کتا کتی امام بارگاہ کتی گشتی چرچ کتی گشتی چرچ کتا گردوارہ کتا مندر کتا بگوانا کتا ہر کافر شیعہ کافر وابی کافر قادیانی کتے عیسائی کتے یہودی کتے قادیانی کتے نو مڈو وڈساں
34,@iqrarulhassan او کسی گشتی کے بچے ویڈیو پرانی ہے گرفتاری والی خبر تو سچی ہے روزے میں بھی گالیاں نکلواتا ہے منہ سے بیغیرت کے بچے
35,@DemocraticPak1 لعنت تیرے منحوس شکل پر۔اور اس گشتی عورت پر جس نے تم کو پیدا کیا تھا
36,@FarrukhHabibISF @HniaziISF کتا گوہ نانک کتا کتی امام بارگاہ کتی گشتی چرچ کتی گشتی چرچ کتا گردوارہ کتا مندر کتا بگوانا کتا ہر کافر شیعہ کافر وابی کافر قادیانی کتے عیسائی کتے یہودی کتے قادیانی کتے نو مڈو وڈساں
37,@aliasghar_1999 در صورت جنگ اگر دنبال سوراخ موش گشتی حالیت میکنم. کوپک اوغلی. فارس کوپگی.
38,"@FatimaPTI_IK یہ والی جو دہشتگردی ہے اس کے پیچھے وہ والی "" گشتی "" ہے 
یہ والی جو دہشتگردی ہے اس کے پیچھے وہ والی "" گشتی "" ہے"
39,"@AyeshaRajabAli1 آندہ کیوں نہیں چور دا تخم
#گشتی_نانی
#سارا_ٹبر_چور_ہے
#پاکستان_کتنے_میں_بیچا
#امپورٹڈ_حکومت_نامنظور
@cyalm
@ImranKhanPTI"
40,@pmln_org سچ تو کہہ رہا ہیں پٹواریوں تم لوگ ایک گشتی ڈائن کے زاتی نوکر ہو؟ جو ملک کو اس حال میں پہنچا کر بھی تمھارے عقلوں پر پردے پڑھے ہیں
41,"@hinaparvezbutt #لخ_دیاں_لعنتا‌ں_تیرے_جمن_تے
چورو
#سارا_ٹبر_چور_ہے
#گشتی_نانی"
42,@GovtofPunjabPK @AmirMirTV @MinisterInfoPb @ICD_Punjab @cmopunjabpk @MohsinnaqviC42 @OfficialDPRPP @amirmirگشتی کے بچے راستے بند پولیس نے کیے ہیں
43,@Skiper786 @MaryamNSharif @hinaparvezbutt یہ انڈین ایجنٹ ہیں سارے میجر عادل راجہ کا ویلاگ دیکھیں یہ گشتی نانی اس خبیث سور کی گشتی اولاد ہے ۔سارے کتوں نے مل کر کیا حال کر دیا ہے 😥
44,@TararAttaullah کسی گشتی تاڑرلی کے پتر بندے اپنی اوقات میں رہنا چاھیے ۔
45,@miandawoodadv کسی گشتی ماں دے پتر  قوم کا تو مطالبہ  والیم دس بھی ھے وہ کھلواں ۔اگر ہمت ھے تو والیم دس پر بھی بات کرو ورنہ اپنی بیٹی نہ پیش کرواو
46,@Naawazsharif وہ تو پٹواریوں کے خیال ہے ورنہ مریم نواز ایک گشتی کی علاوہ کچھ نہیں ہے
47,"@ImranARaja1 یہ دہشتگردی ہے ۔
اسکے پیچھے گشتی ہے"
48,"@Marriyum_A بدزبان گشتی عورت  تم صرفواش روم صاف کرنی والی مریم چور  کے پاپا اور چچا کے مسلم شور  کا کام کرتی ہو  اور بس وہی کرو ۔

#عمران_خان_ہماری_ریڈ_لائن 
#عمران_تیرےجانثار_سب_تیار 
#IMRANKHANisOurRedLine 
#ImranKhanOurRedLine 
#عمران_خان_ہماری_ریڈ_لاین_ہے 
#مریم_چورنی_پاگل_ہوگئی"
49,@Marriyum_A گشتی تم اپنی اوقات میں رھا کرو
50,"@KhSaad_Rafique لعنتی سعد رفیق چُول😂
خان کی جان کُو سیکورٹی کے اہلکاروں سے ہی خطرہ ہے اسی لئے خان کی سیکورٹی ہائی الرٹ کردی گئی ہے
وہ نواز غدار کی طرح بھگوڑا نہیں،نہ ہی تمہاری مالکن مریم گشتی کیطرح جھُوٹا اور نہ ہی بوٹ پالش شہباز چور کیطرح ڈرامے باز ہے جو لندن بھاگ جاۓ؟

https://t.co/WwU4ZGbtKr https://t.co/89CfCDtoWN"
51,@pmln_org #یہ_جوغنڈہ_گردی_ہے_اسکے_پیچھے_گشتی_ہے https://t.co/vtVUuzkTAP
