,tweet
0,"Poder feminazi ¿Por qué no te veo actuando aquí, donde te necesitan? Será porque tú verdadero propósito de ser tiene otras tendencias.. es aquí donde reafirmamos que el feminazismo sirve lo que la Suprema corte de justicia a los sentimientos de la nación https://t.co/ptQzL92X9l"
1,"RT @Agatha56056113: @CarlotaLlauger Anoche estuvo en la tv de Canarias, la INQUISIDORA FEMINAZI y DICTADORA CORRUPTA, carlota corredera y l…"
2,"RT @WolfConservador: Coloquem isso nos perfis das Feminazi consumidoras da SHEIN
Hahahahahah https://t.co/K9QBptV7JY"
3,RT @Bruna_Hawk: Por que choras feminazi consumista? https://t.co/T0LE1NOlG0
4,"@RiobooRodriguez @Unreal_tokem @jfarin1 @Ivi2k22 @VSolbes @protestona1 Y seguro que el juez que le condenó por maltrato era un poco feminazi. Ya no te dejan ni pegar a tu mujer, esto parece Venezuela."
5,"RT @frandevox: @Lescaut92402461 @calzada Lo peor es que no sirve de nada tanta inversión, ni para los de fuera ni para los de dentro, si en…"
6,"METIÍTA EN CAGNE??
Ergo no copula cuanto desearía,
Ergo comunista feminazi de manual https://t.co/52xG9wr12s"
7,"RT @lena_asereje: Una mujer cabal vale esto y más..
Abstenerse los teóricos radicales de la derecha,paso de todos.
Soy mujer y valgo lo que…"
8,RT @veiakgalhaes: Cadê as feminazi pra agradecer a este homem? Pq duvido que alguma lave roupa na mão.. https://t.co/1cPx8eLjbX
9,"@camilafvillalo1 La gorda feminazi después andan marchando por todas las causas, animales, plantas, derecho a ser feas y con bigote, son de carton"
10,"Haganlos famosos a estos HDP, y la mima con cara de feminazi después anda marchando por todas las causas. https://t.co/In7claimW9"
11,@klibrekinmbappe Feminazi.
12,@FinsFiga @Bonatarda1 @324cat Ay ay aaaay... Detector Feminazi que no veu més enllà del seu nas activat.
13,@colwight @ThePosieParker Feminazi was popularized by Rush Limbaugh. Lately by her corporate establishment detractors who are envious of her populist appeal and success.
14,@Gustavo__Olmos Estas son las ideas de esta mujer feminazi https://t.co/3NCj8K90TA
15,"@Lescaut92402461 @calzada Lo peor es que no sirve de nada tanta inversión, ni para los de fuera ni para los de dentro, si en unos años vamos a ser igualmente esclavos, con la familia destruida, con la hegemonía feminazi/LGTB, confinados en guetos de 15 minutos por la ""amenaza climática"", y todos chutados. https://t.co/Yi2YQDR1QL"
16,Avui vaig a la guerra (me veig obligada a compartir espai amb tios que es seu humor es basa en dir feminazi i fer bromes masclistes)
17,"@vantardknows No llores, feminazi. https://t.co/RiRcIjnAuw"
18,RT @aleganq: Les hommes ils aiment trop penser que les feministes deviennent feminazi a partir du moment où elles commencent à vouloir un p…
19,@BlackLagoon0916 @c4jimenez @FiscaliaCDMX Yo fui abusado y por una mujer? Eso que solos con hombres suenas como una feminazi(marimacho resentida).
20,"RT @Ro88866753Andrs: D. Ramón Tamames:
“Nuestra lengua, hablada por 600 millones en todo el mundo, no puede ser usada en las escuelas de pa…"
21,@esesoyyo1948 @sincomplejos__ @esRadio @ppopular @cucagamarra Primero hay que destruir a la PP feminazi-lgtbi.
22,RT @Fake498aVictim: #mentoo #ABLANARI #niruparoy #fakecases #womenempowerment #legalterrorism #legalextortion #498A #dowrylawmisuse #Femini…
23,@sincomplejos__ @ppopular @cucagamarra Cuca Gamarra es una perra feminazi al servicio de la PSOE de Sánchez.
24,RT @veiakgalhaes: Cadê as feminazi pra agradecer a este homem? Pq duvido que alguma lave roupa na mão.. https://t.co/1cPx8eLjbX
25,"@susomillan @milaparadas1 Piel de gallina. La madre de la que yo hablo tardó 5 años en atreverse a contar lo vivido. Estaba muerta. Cuando fue a denunciar, el delito había prescrito. Solo tiene esto. En lugar de ser víctima le tratan de feminazi. Mucha impotencia. https://t.co/OGOujg0sIA"
26,RT @Fake498aVictim: #mentoo #ABLANARI #niruparoy #fakecases #womenempowerment #legalterrorism #legalextortion #498A #dowrylawmisuse #Femini…
27,RT @Silvio_Gesell_: Bienvenue à @AgnesSureau sur l'un des fils d'extrême gauche radicale anarko trotsko feminazi décroissanto stalino boliv…
28,"@nahwhobeyou @RJH755 @jonwhay @STILLTish @ThePosieParker Oh, he knows that she doesn't; but like every other misogynistic incel, he wants so badly to scream ""feminazi!"" at women. Evidence is not needed."
29,"RT @lena_asereje: Una mujer cabal vale esto y más..
Abstenerse los teóricos radicales de la derecha,paso de todos.
Soy mujer y valgo lo que…"
30,"Bienvenue à @AgnesSureau sur l'un des fils d'extrême gauche radicale anarko trotsko feminazi décroissanto stalino bolivaro bourdieusio khmer vert les plus stylés de tout le Twitter francophone.

Une action pour zbeuliser l'Afep à Iéna, un soutien au Tiru à Ivry ? -&gt; DM ouverts https://t.co/lixfKYcOLK https://t.co/HqK13l6nZP"
31,"RT @medusa70a: @oguratrebic_2 @alfonso_ussia Feminazi? Si el óvulo, por error, se ha fecundado con esperma de un tercero, el hijo, no es hi…"
32,RT @RobertooFinch: La feminazi Irene Montero no usaba el lenguaje inclusivo antes de ser ministra: https://t.co/9nCkk0Kjjp
33,"@tanyarlfes Abis ngomong gini gua dirujak feminazi aowkwkwk bodoamat, I only support nice women"
34,RT @mohedanismo: La feminazi esta se refiere a Gloria Camila Ortega. #YoMeRebelo25M #MarianLozano #OperacionDeluxe24M
35,@deadmouad @NoSoyGabi_ ami esque sino me funan y me llaman feminazi desquiciada o bruja pero creo que no tengo problema con el ultimo termino 😔💅🏻✨
36,"RT @anyrmontes28: Bloqueados sin despeinarme ni discutir con pajuos que me están diciendo ""feminazi"", por el simple hecho de defender el de…"
37,"RT @lena_asereje: Una mujer cabal vale esto y más..
Abstenerse los teóricos radicales de la derecha,paso de todos.
Soy mujer y valgo lo que…"
38,"Los chiringuitos del feminazi y la ley de género,  negocio de 🐀 https://t.co/S132PD6Sfl"
39,"RT @SerbosWrath: - pas de daron
- écoute : josman / jokair / luidji ect..
- clubbeuse
- c’est tjrs elle la « gentille » et tlm est « méchan…"
40,"@elmundoes Mira tía tú eres una feminazi y a las mujeres no nos interesa tus feminismo radical de ultra izquierda que solo te ha servido para multiplicar tu patrimonio por 100 eres una sinvergüenza, ahora en breve estarás fregando la cocina de tu casa porque no vales para otra cosa"
41,"@sincomplejos__ @vox_es @Santi_ABASCAL @IdiazAyuso @ppopular solo queda VOX 
o 
la Dictadura Progre Comunista Woke Feminazi 
con Sobre Dosis de Islam 
los Nuevos Votantes Comprados 
los  Paga Pensiones 
y NO se olviden de Comprarse un Coche eléctrico 
y Ponerse Placas Solares 
y Hacer el Gilipollas 
Sean Zombis Progres"
42,"@ElisaEFS @ilipon77 Pues mira observé eso en la maratón de Sevilla y la primera mujer llegó después de bastantes hombres de todas las etnias, porque el sexo nos hace muchísimo más diferentes biológicamente que nuestra etnia. Y que tu me llames terfa me afecta lo mismo que un facha me diga feminazi"
43,RT @Fake498aVictim: #mentoo #ABLANARI #niruparoy #fakecases #womenempowerment #legalterrorism #legalextortion #498A #dowrylawmisuse #Femini…
44,"RT @capTercio: Todos recordaremos este momento estelar de Roma Gallardo: ""El patriarcado 😂😂😂 hasta luego!!!""
Y la cara de la feminazi impag…"
45,RT @Fake498aVictim: #mentoo #ABLANARI #niruparoy #fakecases #womenempowerment #legalterrorism #legalextortion #498A #dowrylawmisuse #Femini…
