,tweet
0,"@ManzoorPashteen تو کیا. بس منہ اور گانڈ  سے بولتا جا.
اور حکومت میں بیٹھ کر مزی لیں.
منافقین کا سردار منظور گانڈو"
1,@murtazasolangi @BBhuttoZardari کتی کے بچے مورون تمہارا باپپ ہو گا گانڈو دلے کی اولاد چوتئے
2,@FarooquiJameel گانڈو ہے
3,@MaleehaHashmey گانڈو
4,یہ گند حکومت کے اندر سے ڈر سامنے آ گیا ہے جو خان کے سپوٹروں کو اور اس کے ٹکٹ ہولڈرز کو گرفتار کر رہی ہے گانڈو حکومت https://t.co/weUfps1xEK
5,تنخواہیں بڑھانے کیلئے فرانس میں جلسے جلوس ہیں ماں کی شادی نہیں کہ ناچے گانے اور کنڈوم استعمال کریں پی ٹی آئی والے گانڈو باجی کے کمائی کھانے والے انقلاب تو دور کی بات اپنی باجی سے آدمی بھی نہیں اٹھاسکتا بشریٰ پنکی خود زلفی بخاری کو پوسی مروانے کیلئے دعوت دےرہا ہے https://t.co/w7FDzUAkrK
6,@Ghummans گانڈو کے بچے۔ جب عمران خان لنگر کھانے میں تیری بہن کی چودای کرنے جاتا تھا تو تب بڑا اچھلتا تھا تو
7,@SajidFb رانا گانڈو کا باپ کا پاکستان ہے کیا رانا اس ترا کچھ کر کے dekya عوام اس رانا بندر کو اس سبق sekhya گی دنیا dekby گی
8,@mirsanabaloch12 @SabirMengal18 @JUI_NW بشہ اڑے گانڈو
9,@NawazSharifMNS گانڈو نا پچہ تو واپس آ تیکو ڈس چھوڑ یسوں
10,"@saifullahawan40 میڈا لن دے رہا 
اصل وہ گرفتاری سے ڈرا ہوا ہے کیوں واپس نئی آتا گانڈو"
11,RT @RaufRau43892679: @Ashkhan32528136 یہ گانڈو ہے بسی موڑ لاہور میں اس کی بہنیں چلتی تھیں میں اس کو اچھی طرح جانتا ہوں یہ دس روپے لے کر گان…
12,"اس پیغام کو جتنا ہو سکے شئیر کرو
نوارنی طوائف گشتی کا بچہ تھا اس کے بات کا کجھ نہیں پتا نوارنی ساری زندگی جوان لونڈوں سے گانڈ مرواتا رہا نوارنی گانڈو اپنی بیوی کے پاس نہیں جاتا تھا سوال یے کہ پھر اویس نورانی کیسے پیدا ہو گیا ! https://t.co/SrT6Ja3gJk https://t.co/mSk3OU8bxo"
