,tweet
0,"RT @assa42111: @Cippo35523491 Она ещё и лесбуха! А лилиПутин любит шкафо-тумбообразных тёток,типа Вали-стакан..."
1,"RT @assa42111: @Cippo35523491 Она ещё и лесбуха! А лилиПутин любит шкафо-тумбообразных тёток,типа Вали-стакан..."
2,"@Cippo35523491 Она ещё и лесбуха! А лилиПутин любит шкафо-тумбообразных тёток,типа Вали-стакан..."
3,@HatUshanka Лесбуха
4,"@OlgaObolenskaja Я спросил не что сделали, а что добились.
Вы ""умная"" братия из прб не можете увидеть разницу.
Чего добилась эта полубольная лесбуха с ценниками в перекрестке? Чего добились эти умники с пикетиками?
Добились блять, а не сделали."
5,@tvoi_partner Судя по виду-какая то активная лесбуха с зоны.
6,"После непродолжительной беседы, где я пытался объяснить свою тревогу и обеспокоенность, меня обвинили в том, что я хотел подсмотреть за ней и что я вообще лесбуха
До сих пор жалею, что не ответил ей ""простите, вы не в моем вкусе"""
7,"@smhylsb Либо замуж и детей, либо лесбуха, поняла? 👹"
8,@OLyusha777 Я лесбуха✊
9,"@aanechaev Кто именно выглядит ""по-человечески"": клоун в голубой пластмассовой тройке, или страшненькая лесбуха, одетая как официантка из забегаловки? (хотя она и есть официантка)"
10,"блять реально
когда девушка со всеми друзьями сюсюкается пишет сердечки на фото в инстаграме пр оочередную подружку почему то это не вызывает наплыва комментариев ""ууу лесбуха тогда всё понятно""
а вот на мужчинах социальное клеймо поведения пустынного кактуса https://t.co/vVkc8QV8YT"
11,"мои одноклассницы подключили к травле меня старшеклассников. Которые орали мне через всю школу что я ""лесбуха"". Почему - не знаю. Что делали учителя? Ничего. А моя классная руководительница в 6ом классе подключилась к этой травле."
12,@_ksjontop не любишь что-то в сексе — не любишь секс или вообще лесбуха ахахахаха классека
13,"@Niko_Niko_Niko5 @shedewriter странно,я вроде долеко не лесбуха,но ни когда бы в жизни не простила если бы со мной муж поступил бы вот так"
