,tweet
0,RT @VladaSlave: Адский пидор https://t.co/xyyecnaJfF
1,"я позавчера: я НЕ БУДУ больше НИЧЕГО делать ПОШЕЛ НАХУЙ пидор
я сегодня словив флешбек этого ебла с веснушками: ну у него лилит в 8 и асц попадает в мой 8 может просто подтолкнуть надо ну не всё же так плохо"
2,"RT @svinobam: Помните о том, что если вас человек везде заблокировал, то вы всегда можете отправить ему: ""Ты пидор!"" с переводом по СБП"
3,"@razdjensia @MIK26140 #магомедхан у не сиделось дома, поехал єтот пидор воевать с мирным наелениеим. #жалкийародец #кадыровпидарас"
4,"RT @Kogane_Ren: ""В Бличе столько дыр, что это не сюжетное полотно, а сюжетное решето. Нихуя не понятно, кроме того, что все поголовно пидор…"
5,"@calmandsleep Довольно сложно забыть о том, что ты пидор. Мы твои друзья и регулярно тебе напоминаем."
6,"@VadyXaXa @APUkraine Пидор, должность такая"
7,@incomnia @capwell_cc Он пидор
8,"RT @krtmn79: Спасибо, конечно, за МИГи, но нам надо бы современные самолеты  и побольше - заявил зеленский по поводу передачи Словакией и П…"
9,"@007mayak @dom_lucre Ukronazist, fascist. А также: свинолюб, салосос и просто пидор"
10,@Silent_Pitt @the_shimponavt @koala_genscher ты пидор
11,"Каждый пидор, в России, который поддерживает войну должен быть в окопах или закрыть свое ебало с поддержкой войны."
12,@rnor19 @Kerim___Y Пидор и не прятался.Иди  ка ты на хуй
13,@strahovlive @Kerim___Y Алярм пидор найден
14,"@brewerov В Копейске люди серьезные живут. Есть слабая надежда, что этот пидор с указкой до своей халупы не дойдет."
15,"когда была серия где зим собирал органы других детей вопросов это у неженок не вызвало а как с дибом шипперят то сразу зиму то 160 то 600 лет гроб гроб кладбище пидор
этому пейрингу больше лет чем вам чюваки просто отъебитесь друг от друга и позвольте делать контент"
16,@FnNestik я жирный пидор я на диету
17,@dead_lesbian Ты пидор
18,"RT @krtmn79: Спасибо, конечно, за МИГи, но нам надо бы современные самолеты  и побольше - заявил зеленский по поводу передачи Словакией и П…"
19,"RT @aeyntkmcjy: @mikailme Покупал бы в Урюпинске, пидор, было бы всё ОК. Нет, блять, в страны НАТО прутся, суки руснявые."
20,Пидор в рясе! https://t.co/FXDOCgOhIG
21,"RT @krtmn79: Спасибо, конечно, за МИГи, но нам надо бы современные самолеты  и побольше - заявил зеленский по поводу передачи Словакией и П…"
22,"@AndJusticeFAll @capwell_cc Салам, пидор"
23,"@AndJusticeFAll @muMaMi11 Привет, пидор!"
24,"@Zaglebie_hater Иди нахуй, пидор 💚"
25,"@_iwiclm @ishigami_lumuk @_kmjngn Так он еще фанат токийского гуля. Вопрос закрыт, он просто пидор."
26,"@SERGE52933107 Пидор блд,мог же отвернуть"
27,"RT @svinobam: Помните о том, что если вас человек везде заблокировал, то вы всегда можете отправить ему: ""Ты пидор!"" с переводом по СБП"
28,@sergeysolombala @s_baskak соси сам пидор гнойный
29,@Roman_of_Spades Пидор ты лицемерный. На хуй 🖕
30,"@cajarenu @Hooukee Пидор, ты определись, на великом русском разговаривай либо продолжай лаять на собачей мове, а то побратимы не поймут"
31,"@Begenchii Если не путаю, финальный берсерк открывается после ее убийства. Еще тот пидор, посложнее даже будет 🫠 Доспехи выручили"
32,@BorisRudominsky @_flafy_ Ебаный черт провокаторский! Опустились до того уже что на основе надписи на шоколадке начинают вражду раздувать. Пидор конченный.
33,"@Ars7513 Охуевший пидор, давно слетевший с катушек. 🤷"
34,"RT @sergeysolombala: Есть такой тг-канал АНП, питерский по происхождению. Там молодые неглупые патриоты.Так вот по их мнению,Путина окружаю…"
