,tweet
0,در جریان زلزله خوی در بهمن ۱۴۰۱ وی بخش زیادی از کمک های مردمی به زلزله زدگان خوی را به جیب زد و سپس از ورود کمک های گسترده مردم که از شهرهای اطراف برای زلزله زدگاه خوی ارسال شده بود دستور جلوگیری را صادر کرد #حتما_خنثی_میکنیم این مزدورای ولدزنا رژیم آخوندی رو #مهسا_امینی https://t.co/2JlW7f1LXv
1,"RT @FardadFarahzad: تایید همکاری ایالات متحده آمریکا و آلبانی برای خنثی‌ کردن حمله‌های سایبری جمهوری اسلامی
#مهسا_امینی #سایبری #آلبانی
htt…"
2,"RT @iranianpapiii3: اگر فکر میکنید اونهمه ماشین امنیتی و نیروی پلیس اونجا ایستادن که؛
✔یه قاتل رو دستگیر کنن
✔بمب خنثی کنن
✔از یه عملیات تر…"
3,"RT @iranianpapiii3: اگر فکر میکنید اونهمه ماشین امنیتی و نیروی پلیس اونجا ایستادن که؛
✔یه قاتل رو دستگیر کنن
✔بمب خنثی کنن
✔از یه عملیات تر…"
4,"RT @iranianpapiii3: اگر فکر میکنید اونهمه ماشین امنیتی و نیروی پلیس اونجا ایستادن که؛
✔یه قاتل رو دستگیر کنن
✔بمب خنثی کنن
✔از یه عملیات تر…"
5,وی در جریان مراسم گلریزان که توسط تعدادی از خیرین برای آزادی برخی از زندانیان شهرستان خوی به راه افتاده بود مبلغ کلانی را در همکاری با اطلاعات سپاه به جیب زد #حتما_خنثی_میکنیم مزدورای ولدزنا رژیم آخوندی رو #مهسا_امینی https://t.co/hWAX4wwHcQ
6,"RT @iranianpapiii3: اگر فکر میکنید اونهمه ماشین امنیتی و نیروی پلیس اونجا ایستادن که؛
✔یه قاتل رو دستگیر کنن
✔بمب خنثی کنن
✔از یه عملیات تر…"
7,"RT @iranianpapiii3: اگر فکر میکنید اونهمه ماشین امنیتی و نیروی پلیس اونجا ایستادن که؛
✔یه قاتل رو دستگیر کنن
✔بمب خنثی کنن
✔از یه عملیات تر…"
8,"بعضیا سوهانن برای روح بعضیا شیطان، اولی رومخی تر از دومیه ولی عوضش گروه دوم، خاصیت سوهانی هم دارن از بس که اصطکاک ایجاد میکنن! اما فرشته ها، فرشته ها خلق شدن که اثر این دو گروه رو خنثی کنن.

کاش فرشته بودم آه نازنین"
9,"RT @iranianpapiii3: اگر فکر میکنید اونهمه ماشین امنیتی و نیروی پلیس اونجا ایستادن که؛
✔یه قاتل رو دستگیر کنن
✔بمب خنثی کنن
✔از یه عملیات تر…"
